what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1592768484900
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1592768484901
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1592768484901
os,sysinfo,,,"win32",1592768484904
arch,sysinfo,,,"x86_64",1592768484904
ws,sysinfo,,,"win32",1592768484904
locale,sysinfo,,,"fi_FI",1592768484904
processors,sysinfo,,,"4",1592768484904
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1592768484904
java.runtime.version,sysinfo,,,"1.8.0_231-b11",1592768484904
java.specification.name,sysinfo,,,"Java Platform API Specification",1592768484904
java.specification.vendor,sysinfo,,,"Oracle Corporation",1592768484904
java.specification.version,sysinfo,,,"1.8",1592768484904
java.vendor,sysinfo,,,"Oracle Corporation",1592768484904
java.version,sysinfo,,,"1.8.0_231",1592768484904
java.vm.info,sysinfo,,,"mixed mode",1592768484904
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1592768484904
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1592768484904
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1592768484904
java.vm.specification.version,sysinfo,,,"1.8",1592768484904
java.vm.vendor,sysinfo,,,"Oracle Corporation",1592768484904
java.vm.version,sysinfo,,,"25.231-b11",1592768484904
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1592768487850
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1592768487866
closed,view,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.internal.introview",1592768487895
started,bundle,org.eclipse.cdt.managedbuilder.ui,7.0.0.201102110609,"org.eclipse.cdt.managedbuilder.ui",1592768508605
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,7.0.0.201102110609,"org.eclipse.cdt.managedbuilder.gnu.ui",1592768508731
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1592768508917
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1592768567648
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1592768567726
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1592768568724
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1592768569119
opened,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1592768569149
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1592768569366
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1592768569725
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1592768570066
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1592768584504
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1592768584815
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1592768584914
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1592768588490
started,bundle,org.eclipse.cdt.debug.core,7.0.0.201102110609,"org.eclipse.cdt.debug.core",1592768588706
started,bundle,org.eclipse.cdt.debug.ui,7.0.0.201102110609,"org.eclipse.cdt.debug.ui",1592768588731
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1592768593285
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1592768593302
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1592768595478
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1592768595528
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1592768595542
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1592768597960
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.RunLast",1592768597975
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1592768605020
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1592768605319
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1592768605419
opened,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.TaskList",1592768608921
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.TaskList",1592768608984
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1592768609896
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1592768610746
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1592768619816
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1592768619827
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1592768622586
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1592768625230
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20100427,"org.eclipse.ui.externaltools",1592768660777
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1592768674108
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1592768678025
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1592768680368
started,bundle,org.eclipse.core.externaltools,1.0.1.v20100831_r361,"org.eclipse.core.externaltools",1592768686580
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1592768743133
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.properties",1592768743150
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1592768747380
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1592768752476
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1592768775585
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1592768778189
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1592768781614
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1592768781998
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1592768784089
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1592769043708
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1592769050938
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1592769053443
started,bundle,org.eclipse.cdt.mylyn.ui,1.1.4.v20110204-0100-e3x,"org.eclipse.cdt.mylyn.ui",1592769053558
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1592769053647
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201102110609,"org.eclipse.cdt.debug.mi.ui",1592769054061
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201102110609,"org.eclipse.cdt.debug.mi.core",1592769054236
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.1.201102110609,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1592769054295
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.0.201102110609,"org.eclipse.cdt.debug.ui.memory.search",1592769054328
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201102110609,"org.eclipse.cdt.dsf.gdb.ui",1592769054594
stopped,bundle,org.eclipse.cdt.dsf.ui,2.1.2.201102110609,"org.eclipse.cdt.dsf.ui",1592769055199
stopped,bundle,org.eclipse.cdt.gdb.ui,7.0.0.201102110609,"org.eclipse.cdt.gdb.ui",1592769055203
